YEAR,County,Total (All race groups),White,Black,American Indian,Asian,Native Hawaiian and other Pacific Islander,Hispanic or Latino,Multi-Race
2050,Santa Cruz,303641,115999,2251,881,22707,483,146392,14926
2050,Shasta,259167,161297,2329,4837,19095,535,60208,10866
2050,Sierra,3634,2937,1,43,15,1,544,93
2050,Siskiyou,52130,32064,349,1519,1996,580,11057,4566
2050,Solano,592850,200109,52805,1863,91704,4696,198481,43191
2050,Sonoma,598795,300530,15894,4169,43347,1538,210627,22691
2050,Stanislaus,861984,314944,18941,3448,57271,3255,437225,26899
2050,Sutter,212161,82779,2026,1407,35334,327,84509,5779
2050,Tehama,98449,52984,430,1875,12751,57,27832,2520
2050,Trinity,18172,13371,28,549,408,25,3202,589
2050,Tulare,784334,217741,4852,5570,38654,726,505929,10861
2050,Tuolumne,61678,41016,1203,851,1456,106,15296,1750
2050,Ventura,995578,372690,14077,2129,73962,1735,493345,37640
2050,Yolo,297147,105943,7401,1339,52022,1427,111357,17658
2050,Yuba,143973,67667,2274,1919,4341,336,60362,7074
2060,Alameda,1675011,360262,167278,3355,472495,15062,529386,127174
2060,Alpine,1147,624,0,254,2,0,257,11
2060,Amador,45116,25832,730,678,2099,32,14421,1324
2060,Butte,341850,220963,2334,3555,22383,648,77099,14869
2060,Calaveras,63025,40943,565,551,1108,119,16701,3039
2060,Colusa,40179,14401,250,614,710,61,23584,559
2060,Contra Costa,1585244,529768,86303,3062,251229,13558,624323,77001
2060,Del Norte,32159,15233,1177,2280,2143,53,9448,1824
2060,El Dorado,297972,213156,1177,2004,25378,999,46645,8613
2060,Fresno,1615401,368028,56310,7718,159751,2105,988958,32531
2060,Glenn,40040,16547,221,500,972,27,20764,1010
2060,Humboldt,147377,84940,1293,8715,10609,685,31386,9748
2060,Imperial,355022,41867,5609,2731,12548,304,290373,1590
2060,Inyo,23921,12455,145,1872,486,5,8503,456
2060,Kern,2055622,626454,72623,8750,98381,2175,1222927,24312
2060,Kings,282305,86773,8924,1842,14119,278,162482,7888
2060,Lake,110055,57678,867,1696,5897,74,39486,4357
2060,Lassen,41961,23229,3062,989,1381,167,10993,2140
2060,Los Angeles,11562720,2072836,682815,17817,1693978,26878,6710646,357750
2060,Madera,373929,115018,4989,1843,14081,572,231243,6184
2060,Marin,272275,136431,6248,418,40025,377,74020,14756
2060,Mariposa,23308,13345,69,346,1788,98,6987,675
2060,Mendocino,102106,48910,512,3751,5199,121,40054,3559
2060,Merced,553114,159686,8452,1239,58597,714,316610,7818
2060,Modoc,10321,6554,36,268,346,28,2801,288
2060,Mono,20755,10502,68,244,544,5,8906,486
2060,Monterey,569459,106240,8155,1017,39819,1622,395356,17252
2060,Napa,196243,65999,2459,541,25154,590,96205,5295
2060,Nevada,150550,96848,368,746,15240,88,32369,4891
2060,Orange,3331595,1003960,41448,4899,628632,10820,1493643,148193
2060,Placer,579729,372979,4404,2267,63083,638,112628,23731
2060,Plumas,19471,12998,197,471,731,56,4219,799
2060,Riverside,4216816,1319945,179218,13849,265590,8369,2325004,104840
2060,Sacramento,2191508,855742,168111,8555,354343,36107,594807,173843
2060,San Benito,86939,17348,573,225,5284,34,62449,1026
2060,San Bernardino,3433047,971795,300102,11970,179057,10125,1860935,99064
2060,San Diego,4152763,1484107,144521,15791,467262,26818,1832678,181585
2060,San Francisco,926555,434214,31360,2619,292405,4072,107971,53913
2060,San Joaquin,1538313,451181,84303,4264,216969,3539,735973,42084
2060,San Luis Obispo,353190,172799,3468,1431,27902,569,136593,10429
2060,San Mateo,928706,239680,17195,1040,248398,14011,350440,57942
2060,Santa Barbara,519034,146405,7160,1287,43432,499,302816,17435
2060,Santa Clara,2198503,503027,39935,3958,788056,10570,726973,125984
2060,Santa Cruz,309474,108239,2076,840,24623,483,156573,16641
2060,Shasta,265246,154749,2264,4669,22427,584,68768,11785
2060,Sierra,3876,3094,1,47,42,0,588,105
2060,Siskiyou,52646,31070,286,1404,2218,728,11907,5031
2060,Solano,634852,195696,50212,1823,102817,5278,231909,47117
2060,Sonoma,616340,290568,16134,4354,50274,1624,228779,24606
2060,Stanislaus,953580,331227,19150,3462,72125,3105,494938,29573
2060,Sutter,254783,95665,2007,1584,39735,522,108929,6340
2060,Tehama,109201,56800,422,2142,14750,86,32420,2583
2060,Trinity,19381,14119,23,563,478,28,3647,523
2060,Tulare,836850,224976,4210,5944,40366,832,548782,11739
2060,Tuolumne,63947,40277,1169,845,1701,109,18079,1765
2060,Ventura,1034651,379005,15397,2080,88891,2216,504057,43005
2060,Yolo,305711,101336,6649,1372,53563,1490,121122,20178
2060,Yuba,168685,73397,2144,2109,4368,385,78275,8007
